"Date","StateOfOccurrence","Location","Model","Registration","Operator","StateOfOperator","StateOfRegistry","FlightPhase","Class","Fatalities","Over2250","Over5700","ScheduledCommercial","InjuryLevel","TypeDesignator","Helicopter","Airplane","Engines","EngineType","Official","OccCats","Risk","Year"
"""2008-03-04T00:00:00.000Z""","USA","","Airbus Helicopters H125 / AS350","N152TA","Liberty Helicopters Inc","","USA","Initial Climb","Accident",0,true,false,false,"None","AS50",true,false,1,"Turboprop","","[]","",2008
"""2008-03-04T00:00:00.000Z""","USA","","Robinson Helicopter Company R22","N120KC","Spitzer Helicopter LLC","","USA","Initial Climb","Accident",0,false,false,false,"None","R22",true,false,1,"Piston","","[]","",2008
"""2008-03-04T00:00:00.000Z""","USA","","Bell Bell 206","N404EH","Blue Sky LLC","","USA","Manoeuvring","Accident",0,false,false,false,"None","EBOY",false,true,1,"Piston","","[]","RS",2008
"""2008-03-04T00:00:00.000Z""","USA","Oklahoma City","CESSNA","N113SH","Southwest Orthopedic &amp; Sports Medicine Clinic PC",,"USA","En route","Accident",5,true,false,false,"Fatal","C172",false,true,1,"Piston","","[""BIRD""]","RS",2008
"""2008-03-08T00:00:00.000Z""","USA","Stuart , Florida","CESSNA 500 CITATION","N400GG","",,"USA","Taxi","Accident",0,true,true,"","None","C500",false,true,2,"Jet","","[""GCOL""]","RS",2008
"""2008-03-09T00:00:00.000Z""","USA","Belmont","SIKORSKY S58","N1078T","St Louis Helicopter LLC (Indiana)",,"USA","Manoeuvring","Accident",0,true,true,false,"Serious","S58P",true,false,1,"Piston","","[""SCF-NP""]","SCF",2008
"""2008-03-10T00:00:00.000Z""","USA","Mercury","CESSNA 402","N594DM","Distribution Management Corporation Inc",,"USA","En route","Accident",0,true,"",true,"None","C402",false,true,2,"Piston","","[""ARC"",""FUEL"",""SCF-NP""]","RS",2008
"""2008-03-11T00:00:00.000Z""","USA","","Bell Bell 206","N7028J","Aspen Helicopters","","USA","Manoeuvring","Accident",0,false,false,false,"None","EBOY",false,true,1,"Piston","","[]","RS",2008
"""2008-03-13T00:00:00.000Z""","USA","Back Gate","AIR TRACTOR AT602 NO SERIES EXISTS","N602KP","",,"USA","Landing","Accident",0,true,false,"","None","AT6T",false,true,1,"Turboprop","","[""RE"",""LOC-G""]","RS",2008
"""2008-03-13T00:00:00.000Z""","USA","","Robinson Helicopter Company R22","N2215R","Maintenance Services LLC","","USA","En route","Accident",1,false,false,false,"Fatal","R22",true,false,1,"Piston","","[]","",2008
"""2008-03-14T00:00:00.000Z""","USA","Columbus , Mississippi","AIR TRACTOR AT301","N7302C","",,"USA","Manoeuvring","Accident",0,true,false,"","Minor","AT3P",false,true,1,"Piston","","[""LOC-I""]","LOC-I",2008
"""2008-03-15T00:00:00.000Z""","USA","Fort Lauderdale","CESSNA 402","N300SH","Bimini Island Air",,"USA","Landing","Accident",0,true,"",false,"None","C402",false,true,2,"Piston","","[""SCF-NP""]","SCF",2008
"""2008-03-15T00:00:00.000Z""","USA","","Robinson Helicopter Company R22","N489TJ","Corporate American Operator","","USA","Unknown","Accident",0,false,false,false,"None","R22",true,false,1,"Piston","","[]","",2008
"""2008-03-17T00:00:00.000Z""","USA","","Robinson Helicopter Company R44","N3027Y","Helicor Aviation LLC","","USA","Initial Climb","Accident",0,false,false,false,"None","R44",true,false,1,"Piston","","[]","",2008
"""2008-03-18T00:00:00.000Z""","USA","","Robinson Helicopter Company R22","N3055N","Corporate American Operator","","USA","Unknown","Accident",0,false,false,false,"None","R22",true,false,1,"Piston","","[]","",2008
"""2008-03-20T00:00:00.000Z""","USA","Portland","PIPER PA31P 350","N4098A","Ameriflight",,"USA","Landing","Accident",0,true,"",false,"None","PA47",false,true,1,"Jet","","[""ARC"",""SCF-NP""]","RS",2008
"""2008-03-20T00:00:00.000Z""","USA","Idaho Falls , Idaho","BEECH 90","N124BK","MTB Investments LLC",,"USA","Landing","Accident",0,true,"",false,"None","BE9L",false,true,2,"Turboprop","","[""ARC"",""RE""]","RS",2008
"""2008-03-21T00:00:00.000Z""","USA","","Piper Aircraft Inc PA-44 Seminole","N730FT","Orlando Flight Training","","USA","Landing","Accident",0,true,false,false,"None","PA44",false,true,2,"Piston","","[]","RS",2008
"""2008-03-22T00:00:00.000Z""","USA","","Piper Aircraft Inc PA-34 Seneca","N66AH","Private US Operator","","USA","Taxi","Accident",0,true,false,false,"None","PA34",false,true,2,"Piston","","[]","RS",2008
"""2008-03-22T00:00:00.000Z""","USA","Colfax , Washington","GRUMMAN G164","N63D","",,"USA","Take-off","Accident",0,true,false,"","None","G164",false,true,1,"Piston","","[""LOC-I"",""RAMP""]","LOC-I",2008
"""2008-03-22T00:00:00.000Z""","USA","Genesee","GRUMMAN G164","N8148K","",,"USA","Landing","Accident",0,true,false,"","Minor","G164",false,true,1,"Piston","","[""SCF-NP""]","SCF",2008
"""2008-03-24T00:00:00.000Z""","USA","Blythe , California","AYRES","N5674X","",,"USA","Manoeuvring","Accident",0,true,false,"","None","SS2P",false,true,1,"Piston","","[""LALT""]","OTH",2008
"""2008-03-26T00:00:00.000Z""","USA","Henderson","CESSNA 402","N4010Q","Skyventure LLC",,"USA","Take-off","Accident",0,true,"",false,"None","C402",false,true,2,"Piston","","[""SCF-NP"",""ARC""]","RS",2008
"""2008-03-26T00:00:00.000Z""","USA","","Piper Aircraft Inc PA-34 Seneca","N16LL","Private US Operator","","USA","Landing","Accident",0,true,false,false,"None","PA34",false,true,2,"Piston","","[]","RS",2008
"""2008-03-26T00:00:00.000Z""","USA","Plains , Kansas","AIR TRACTOR AT301","N4427S","",,"USA","Approach","Accident",0,true,false,"","None","AT3P",false,true,1,"Piston","","[""FUEL""]","OTH",2008
"""2008-03-26T00:00:00.000Z""","USA","","MD Helicopters Inc MD 600","N160KC","Kokosing Construction Company Inc","","USA","Landing","Accident",0,true,false,false,"None","H500",true,false,1,"Turboprop","","[]","",2008
"""2008-03-28T00:00:00.000Z""","USA","Abbeville , Louisiana","SCHWEIZER","N36289","","","USA","Approach","Accident",0,true,false,"","None","G64T",false,true,1,"Turboprop","","[""MAC""]","OTH",2008
"""2008-03-28T00:00:00.000Z""","USA","Abbeville , Louisiana","PIPER PA24","N9097P","","","USA","Approach","Accident",0,false,false,"","None","PA47",false,true,1,"Jet","","[""MAC""]","OTH",2008
"""2008-04-02T00:00:00.000Z""","USA","Benson","BEECH 55","N20480","Private US Operator",,"USA","Approach","Accident",2,true,"",false,"Fatal","BE55",false,true,2,"Piston","","[""ARC"",""LOC-I""]","LOC-I",2008
"""2008-04-02T00:00:00.000Z""","USA","","Bell UH-1","N911NV","Washoe County Sheriff's Department","","USA","Manoeuvring","Accident",0,true,false,false,"None","XV15",false,true,2,"Turboprop","","[]","RS",2008
"""2008-04-03T00:00:00.000Z""","USA","New York","CESSNA 750 NO SERIES EXISTS","N750WM","WM Aviation LLC",,"USA","Landing","Accident",0,true,true,false,"None","C750",false,true,2,"Jet","","[""SCF-NP"",""RE"",""LOC-G""]","RS",2008
"""2008-04-04T00:00:00.000Z""","USA","Tuscaloosa","RAYTHEON HAWKER","N900WP","MMM Acquisitions LLC",,"USA","Approach","Accident",0,true,true,false,"None","H25C",false,true,2,"Jet","","[""WSTRW""]","OTH",2008
"""2008-04-04T00:00:00.000Z""","USA","Anchorage , Alaska","FAIRCHILDSA227 III","N650PA","PenAir","USA","USA","Landing","Accident",0,true,true,true,"None","SW3",,true,2,"Turboprop",true,"[""ARC""]","RS",2008
"""2008-04-05T00:00:00.000Z""","USA","","Robinson Helicopter Company R44","N510JM","Advanced Access","","USA","Approach","Accident",0,false,false,false,"None","R44",true,false,1,"Piston","","[]","",2008
"""2008-04-05T00:00:00.000Z""","USA","","Robinson Helicopter Company R44","N402PD","Topeka Police Department","","USA","En route","Accident",0,false,false,false,"None","R44",true,false,1,"Piston","","[]","",2008
"""2008-04-06T00:00:00.000Z""","USA","Miami","BOEING 737 800","N947AN","",,"USA","En route","Accident",0,true,true,true,"Serious","B38M",,true,2,"Jet",true,"[""TURB""]","TURB",2008
"""2008-04-06T00:00:00.000Z""","USA","Belfast , Maine","SIAI MARCHETTI","N601RH","","","USA","Manoeuvring","Accident",1,true,false,"","Fatal","WW23",false,true,2,"Jet","","[""UNK""]","UNK",2008
"""2008-04-07T00:00:00.000Z""","USA","","Piper Aircraft Inc PA-34 Seneca","N4805T","Corporate American Operator","","USA","Landing","Accident",0,true,false,false,"None","PA34",false,true,2,"Piston","","[]","RS",2008
"""2008-04-08T00:00:00.000Z""","USA","Colorado Spring","CANADAIR CL600 1A11 600","N483BA","Boeing",,"USA","Take-off","Accident",0,true,true,false,"None","CL60",false,true,2,"Jet","","[""BIRD""]","RS",2008
"""2008-04-08T00:00:00.000Z""","USA","","Piper Aircraft Inc PA-34 Seneca","N83878","West Central Aviation LLC","","USA","Landing","Accident",0,true,false,false,"None","PA34",false,true,2,"Piston","","[]","RS",2008
"""2008-04-09T00:00:00.000Z""","USA","","Beechcraft Corp Beech 2000 Starship","N8244L","Radio Flyer LLC (OK)","","USA","Landing","Accident",0,true,false,false,"None","STAR",false,true,2,"Turboprop","","[]","RS",2008
"""2008-04-09T00:00:00.000Z""","USA","Unalaska","GRUMMAN G21","N741","",,"USA","Landing","Accident",0,true,false,true,"Serious","G159",false,true,2,"Turboprop","","[""RI""]","RS",2008
"""2008-04-10T00:00:00.000Z""","USA","Taylor","RAYTHEON HAWKER","N300FL","",,"USA","Standing","Accident",1,true,false,"","Fatal","H25B",false,true,2,"Jet","","[""SCF-NP"",""OTHR""]","SCF",2008
"""2008-04-11T00:00:00.000Z""","USA","Roswell","CESSNA 310","N7935Q","",,"USA","Taxi","Accident",0,true,false,"","None","C310",false,true,2,"Piston","","[""SCF-NP""]","SCF",2008
"""2008-04-11T00:00:00.000Z""","USA","Kingman","NORTH AMERICAN","N9022N","",,"USA","En route","Accident",0,true,false,"","Minor","T6",false,true,1,"Piston","","[""SCF-PP""]","SCF",2008
"""2008-04-12T00:00:00.000Z""","USA","Compton","CESSNA 310","N6231Q","",,"USA","Approach","Accident",0,true,false,"","Serious","C310",false,true,2,"Piston","","[""FUEL""]","OTH",2008
"""2008-04-12T00:00:00.000Z""","USA","Potsdam","EMBRAER EMB110","N62CZ","AirNow",,"USA","Landing","Accident",0,true,true,false,"None","E110",false,true,2,"Turboprop","","[""RE"",""ARC""]","RS",2008
"""2008-04-13T00:00:00.000Z""","USA","","Piper Aircraft Inc PA-34 Seneca","N2965R","Private US Operator","","USA","Approach","Accident",0,true,false,false,"None","PA34",false,true,2,"Piston","","[]","RS",2008
"""2008-04-13T00:00:00.000Z""","USA","Coleman , Texas","WEATHERLY 620","N2035J","",,"USA","Landing","Accident",0,true,false,"","None","W201",false,true,1,"Piston","","[""ADRM"",""LOC-G""]","RS",2008
"""2008-04-15T00:00:00.000Z""","USA","","Airbus Helicopters H125 / AS350","N213EH","Era Helicopters LLC","","USA","En route","Accident",4,true,false,false,"Fatal","AS50",true,false,1,"Turboprop","","[]","",2008
"""2008-04-15T00:00:00.000Z""","USA","White Plains , New York","CESSNA 560 CITATION V","N613QS","NetJets",,"USA","Landing","Accident",0,true,true,false,"None","C560",false,true,2,"Jet","","[""SCF-NP""]","SCF",2008
"""2008-04-15T00:00:00.000Z""","USA","Fort Carson","AIR TRACTOR AT602 NO SERIES EXISTS","N602AA","Aero Applicators Inc (CO)",,"USA","Manoeuvring","Accident",1,true,"",false,"Fatal","AT6T",false,true,1,"Turboprop","","[""LOC-I""]","LOC-I",2008
"""2008-04-16T00:00:00.000Z""","USA","Angleton","GRUMMAN G164","N8237K","",,"USA","Manoeuvring","Accident",0,true,false,"","Minor","G164",false,true,1,"Piston","","[""LALT""]","OTH",2008
"""2008-04-18T00:00:00.000Z""","USA","","Piper Aircraft Inc PA-31 Navajo","N13WP","Private US Operator","","USA","Landing","Accident",0,true,false,false,"None","PA31",false,true,2,"Piston","","[]","RS",2008
"""2008-04-18T00:00:00.000Z""","USA","Lansing","BEECH 55","N8991M","Hilgy's Aviation LLC",,"USA","Landing","Accident",0,true,"",false,"None","BE55",false,true,2,"Piston","","[""ARC""]","RS",2008
"""2008-04-18T00:00:00.000Z""","USA","","Enstrom Helicopter Corporation Enstrom F-28","N56895","Worley Bird Aviation Llc","","USA","Approach","Accident",0,false,false,false,"None","EN28",true,false,1,"Piston","","[]","",2008
"""2008-04-19T00:00:00.000Z""","USA","Carlsbad","CESSNA 500 CITATION","N54PV","California Natural Products",,"USA","Landing","Accident",0,true,false,false,"None","C500",false,true,2,"Jet","","[""RE""]","RS",2008
